id,first_name,last_name,email,address,zipcode,city,avatar,birthday,first_seen,last_seen,has_ordered,latest_purchase,has_newsletter,groups,nb_commands,total_spent
0,Pasquale,Dare,Pasquale_Dare64@yahoo.com,,,,https://s3.amazonaws.com/uifaces/faces/twitter/chris_witko/128.jpg,,2017-10-18T14:14:03.146Z,2018-12-25T09:27:31.584Z,false,,true,regular,0,0
1,Marianne,Kutch,Marianne41@hotmail.com,,,,https://s3.amazonaws.com/uifaces/faces/twitter/canapud/128.jpg,,2014-07-08T20:30:51.251Z,2017-02-27T09:38:12.774Z,false,,true,regular,0,0
2,Madalyn,Abernathy,Madalyn.Abernathy@yahoo.com,Wilderman Spring,47281-3237,West Gardnerbury,https://s3.amazonaws.com/uifaces/faces/twitter/saarabpreet/128.jpg,2013-09-25T03:53:07.742Z,2018-03-03T09:54:36.850Z,2018-07-24T11:17:23.073Z,true,2017-08-08T02:42:54.479Z,false,,3,234.6
3,Rolando,Oberbrunner,Rolando8@yahoo.com,Emilio Lane,94553-0527,Eddiemouth,https://s3.amazonaws.com/uifaces/faces/twitter/coreyhaggard/128.jpg,2011-03-23T17:05:31.890Z,2018-09-23T09:14:41.218Z,2019-01-12T10:10:52.664Z,true,,false,,0,0
4,Piper,Borer,Piper70@gmail.com,Samantha Wells,16482-6798,Fayview,https://s3.amazonaws.com/uifaces/faces/twitter/timgthomas/128.jpg,2009-02-20T12:16:31.151Z,2018-09-24T17:49:25.030Z,2019-01-10T10:04:15.057Z,true,2018-11-10T15:25:47.614Z,false,returns,3,497.96999999999997
5,Alexandria,Shields,Alexandria93@gmail.com,,,,https://s3.amazonaws.com/uifaces/faces/twitter/AM_Kn2/128.jpg,,2016-09-20T05:50:51.987Z,2017-07-04T03:53:59.559Z,false,,true,,0,0
6,Giovani,Strosin,Giovani40@hotmail.com,Marcos Plains,95628-4459,Hagenesville,https://s3.amazonaws.com/uifaces/faces/twitter/karthipanraj/128.jpg,1986-03-30T07:16:10.206Z,2018-06-04T15:34:37.160Z,2018-10-13T10:25:09.035Z,true,2018-11-20T06:26:55.578Z,false,"ordered_once,returns",1,57.72
7,Mekhi,Gerlach,Mekhi.Gerlach@gmail.com,,,,https://s3.amazonaws.com/uifaces/faces/twitter/aiiaiiaii/128.jpg,,2017-06-11T02:27:52.077Z,2018-09-08T17:22:09.712Z,false,,true,,0,0
8,Kaycee,Stehr,Kaycee.Stehr29@hotmail.com,Russel Plain,59560,Maziefurt,https://s3.amazonaws.com/uifaces/faces/twitter/rachelreveley/128.jpg,1990-05-27T20:25:03.782Z,2018-04-01T17:19:40.238Z,2018-06-01T13:46:28.671Z,true,2018-05-07T04:39:33.536Z,false,,2,97.82
9,Aaliyah,Lemke,Aaliyah_Lemke@gmail.com,,,,https://s3.amazonaws.com/uifaces/faces/twitter/desastrozo/128.jpg,,2017-10-08T00:21:29.352Z,2017-12-03T05:11:26.985Z,false,,true,,0,0
